Имя;Ссылка
Юра;
Илья;"https://medium.com/@c2c/javascript-console-lesser-known-features-9fe3852ce48b; https://github.com/rails/globalid"
Валик;
Даша;
Кирилл;
Ринат;
Саша Б;
Саша П;SPA SEO
Дима;datomic, если успею сделать демку
Арсений;
Женя;
Аня;
Николай;
Вова;Боль и унижение в архитектуре приложений
Юра К;
Сергей Д;
