Имя;Ссылка;
Жора;;
Илья;;
Валик;https://docs.google.com/forms/d/1sOq-F8GIiF8EW4XL5w_C7RBpelzyYQ9JNePZ_Im1uG4/viewform?edit_requested=true;http://blog.500tech.com/is-reactjs-fast/
Даша;;
Кирилл;http://thingsinabucket.com/2015/05/27/hash_default_proc/;
Ринат;;
Саша Б;;
Саша П;;
Дима;;
Арсений;;
Женя;;
Аня;;
Вова;firebase;
Юра К;;
Максим;;
Оля;; 
