Имя;Ссылка
Юра;
Илья;
Валик;https://speakerdeck.com/rauschma/using-ecmascript-6-today
Даша;
Кирилл;
Ринат;
Саша Б;
Саша П;
Дима;
Арсений;
Женя;
Аня;
Николай;
Вова;
