Имя;Ссылка
Юра;https://docs.angularjs.org/api/ng/service/$q
Илья;http://habrahabr.ru/post/225065/
Алесь; 
Валик;http://www.ashnik.com/25-features-your-developers-are-missing-when-not-using-postgres/
Даша;
Денис;
Кирилл;
Ринат;
Саша Б;
Саша П;http://scotch.io/bar-talk/best-of-sublime-text-3-features-plugins-and-settings
